window_idx,src_ip,dst_ip,sport,dport,proto,ecn_ect0,ecn_ect1,ecn_ce,ecn_non,ratio_ect1,ratio_ce,flow_throughput_bps,flow_packet_count,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,iat_min,iat_max,iat_mean,iat_std,flag_cwr,flag_ece,flag_psh,flag_rst,flag_syn,ratio_cwr,tcp_win_mean,label_is_attack
0,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,1776,0.0,0.0,21487808.0,1776,66,1514,1512.373873873874,48.43036091096239,9.5367431640625e-07,0.01821589469909668,0.0005633786698462258,0.0018733666086296458,0,0,822,0,1,0.0,537.8885135135135,0
0,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,4714,0.0,0.0,57072864.0,4714,66,1514,1513.3873568095037,29.73698410545579,9.5367431640625e-07,0.019943952560424805,0.00021184555618671406,0.0006399459774079016,0,0,982,0,1,0.0,515.5210012728044,0
0,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1010,0.0,0.0,538624.0,1010,66,78,66.66138613861386,2.732676137177428,0.0,0.01822686195373535,0.0009908295717418962,0.002440339688255302,0,0,0,0,1,0.0,4748.106930693069,0
0,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,2698,0.0,0.0,1445568.0,2698,66,86,66.97405485544849,3.578215523214233,0.0,0.019978046417236328,0.00037018873535088357,0.0008677575685032036,0,0,0,0,1,0.0,8365.165678280207,0
0,192.168.56.10,192.168.57.10,38164,5001,6,0,805,86,0,0.9034792368125701,0.09652076318742986,10768784.0,891,74,1514,1510.7721661054995,68.05303231537128,9.5367431640625e-07,0.005585908889770508,0.0011198335819030075,0.0013379015245679295,2,891,37,0,1,0.002244668911335578,573.5353535353536,0
0,192.168.57.10,192.168.56.10,5001,38164,6,0,750,0,0,1.0,0.0,468064.0,750,78,86,78.01066666666667,0.29192388657928553,0.0,0.005614042282104492,0.001330573027219887,0.0014074741386214656,450,369,0,0,1,0.6,586.968,0
1,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1653,0.0,0.0,875472.0,1653,66,78,66.2032667876588,1.5485102727914006,0.0,0.020532846450805664,0.0006039105085137393,0.0011934268002504543,0,0,0,0,0,0.0,5373.643073200242,0
1,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,3007,0.0,0.0,36420784.0,3007,1514,1514,1514.0,0.0,9.5367431640625e-07,0.018723011016845703,0.0003317994271923682,0.0008733741998165746,0,0,990,0,0,0.0,502.0,0
1,192.168.56.10,192.168.57.10,38164,5001,6,0,864,59,0,0.9360780065005417,0.06392199349945829,11179376.0,923,1514,1514,1514.0,0.0,0.0,0.01650404930114746,0.001081079050672287,0.0012882339299971365,0,923,21,0,0,0.0,502.0,0
1,192.168.57.10,192.168.56.10,5001,38164,6,0,801,0,0,1.0,0.0,499824.0,801,78,78,78.0,0.0,0.0,0.01664900779724121,0.0012459447979927063,0.0014258884397453666,439,383,0,0,0,0.5480649188514357,500.7852684144819,0
1,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,1980,0.0,0.0,23981760.0,1980,1514,1514,1514.0,0.0,9.5367431640625e-07,0.022594928741455078,0.0004989464756453381,0.0020190747835979834,0,0,915,0,0,0.0,502.0,0
1,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1034,0.0,0.0,549888.0,1034,66,78,66.47582205029013,2.3416784535754087,0.0,0.030794143676757812,0.000955761921486573,0.002875463345443908,0,0,0,0,0,0.0,11317.48839458414,0
2,192.168.56.10,192.168.57.10,38164,5001,6,0,923,56,0,0.9427987742594485,0.05720122574055159,11857648.0,979,1514,1514,1514.0,0.0,9.5367431640625e-07,0.015508174896240234,0.0010194836950009585,0.001244729266595754,0,979,22,0,0,0.0,502.0,0
2,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2689,0.0,0.0,32569168.0,2689,1514,1514,1514.0,0.0,9.5367431640625e-07,0.015211105346679688,0.0003712232268991924,0.0010573607694452378,0,0,972,0,0,0.0,502.0,0
2,192.168.57.10,192.168.56.10,5001,38164,6,0,767,0,0,1.0,0.0,478608.0,767,78,78,78.0,0.0,0.0,0.01633000373840332,0.0013013278224138305,0.0014606608764143648,426,386,0,0,0,0.5554106910039114,500.88657105606256,0
2,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1437,0.0,0.0,766512.0,1437,66,86,66.67640918580376,2.999249531672054,0.0,0.015548944473266602,0.0006947103981188081,0.0014427718692254178,0,0,0,0,0,0.0,5371.8107167710505,0
2,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2704,0.0,0.0,32750848.0,2704,1514,1514,1514.0,0.0,9.5367431640625e-07,0.027547836303710938,0.00036935739238483573,0.0015108055696779804,0,0,981,0,0,0.0,502.0,0
2,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1502,0.0,0.0,795264.0,1502,66,78,66.1837549933422,1.4735311406713902,0.0,0.027714014053344727,0.00066321917488764,0.0020427416612331883,0,0,0,0,0,0.0,11318.62050599201,0
3,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2715,0.0,0.0,32884080.0,2715,1514,1514,1514.0,0.0,9.5367431640625e-07,0.11102485656738281,0.0003661860766091062,0.0023568302211591577,0,0,849,0,0,0.0,502.0,0
3,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1526,0.0,0.0,819328.0,1526,66,94,67.11402359108781,4.663946650483069,0.0,0.11142492294311523,0.0006517611956987225,0.003158689793233308,0,0,0,0,0,0.0,11315.831585845348,0
